108,Bajaj Platina 100,72 km/l,"Rs. 67,808"
109,Bajaj Platina 110,70 km/l,"Rs. 70,400"
110,Bajaj CT 110X,70 km/l,"Rs. 69,216"
111,Hero HF Deluxe,70 km/l,"Rs. 59,998"
112,TVS Radeon,69.3 km/l,"Rs. 62,405"
113,TVS Raider,67 km/l,"Rs. 95,219"
114,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
115,Honda Shine 100,65 km/l,"Rs. 64,900"
116,Honda SP 125,65 km/l,"Rs. 86,017"
117,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
118,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
119,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
120,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
121,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
122,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
123,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
124,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
125,TVS iQube,145 km (Range),Rs. 1.17 lakhs
126,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
127,Hero Glamour,60 km/l,"Rs. 83,106"
128,Honda Unicorn,60 km/l,"Rs.1,09,679"
129,Hero Passion Plus,70 km/l,"Rs. 80,538"
130,Honda Livo,60 - 74 km/l,"Rs. 73,150"
131,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
132,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
133,TVS Sport,73 km/l,"Rs. 59,431"
134,Bajaj Platina 100,72 km/l,"Rs. 67,808"
135,Bajaj Platina 110,70 km/l,"Rs. 70,400"
136,Bajaj CT 110X,70 km/l,"Rs. 69,216"
137,Hero HF Deluxe,70 km/l,"Rs. 59,998"
138,TVS Radeon,69.3 km/l,"Rs. 62,405"
139,TVS Raider,67 km/l,"Rs. 95,219"
140,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
141,Honda Shine 100,65 km/l,"Rs. 64,900"
142,Honda SP 125,65 km/l,"Rs. 86,017"
143,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
144,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
145,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
146,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
147,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
148,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
149,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
150,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
151,TVS iQube,145 km (Range),Rs. 1.17 lakhs
152,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
153,Hero Glamour,60 km/l,"Rs. 83,106"
154,Honda Unicorn,60 km/l,"Rs.1,09,679"
155,Hero Passion Plus,70 km/l,"Rs. 80,538"
156,Honda Livo,60 - 74 km/l,"Rs. 73,150"
157,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
158,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
159,TVS Sport,73 km/l,"Rs. 59,431"
160,Bajaj Platina 100,72 km/l,"Rs. 67,808"
161,Bajaj Platina 110,70 km/l,"Rs. 70,400"
162,Bajaj CT 110X,70 km/l,"Rs. 69,216"
163,Hero HF Deluxe,70 km/l,"Rs. 59,998"
164,TVS Radeon,69.3 km/l,"Rs. 62,405"
165,TVS Raider,67 km/l,"Rs. 95,219"
166,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
167,Honda Shine 100,65 km/l,"Rs. 64,900"
168,Honda SP 125,65 km/l,"Rs. 86,017"
169,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
170,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
171,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
172,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
173,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
174,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
175,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
176,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
177,TVS iQube,145 km (Range),Rs. 1.17 lakhs
178,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
179,Hero Glamour,60 km/l,"Rs. 83,106"
180,Honda Unicorn,60 km/l,"Rs.1,09,679"
181,Hero Passion Plus,70 km/l,"Rs. 80,538"
182,Honda Livo,60 - 74 km/l,"Rs. 73,150"
183,we,qwe,qwe
184,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
185,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
186,TVS Sport,73 km/l,"Rs. 59,431"
187,Bajaj Platina 100,72 km/l,"Rs. 67,808"
188,Bajaj Platina 110,70 km/l,"Rs. 70,400"
189,Bajaj CT 110X,70 km/l,"Rs. 69,216"
190,Hero HF Deluxe,70 km/l,"Rs. 59,998"
191,TVS Radeon,69.3 km/l,"Rs. 62,405"
192,TVS Raider,67 km/l,"Rs. 95,219"
193,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
